SOURCE_ROW,TIME,PI,X,Y,RA,DEC,KEV,MISSION,INSTRUMENT,OBSERVATION_ID,RECORD_KEY
93541,456598611.44580525,288,801,804,350.82022,58.838078,1.0512,suzaku,xis,508011020,suzaku/xis/508011020
93626,456598611.44580525,1037,707,823,350.8728,58.843575,3.78505,suzaku,xis,508011020,suzaku/xis/508011020
94306,456598659.44530976,345,758,775,350.84427,58.82968,1.25925,suzaku,xis,508011020,suzaku/xis/508011020
94630,456598675.4453074,514,720,815,350.86554,58.84126,1.8761,suzaku,xis,508011020,suzaku/xis/508011020
94785,456598691.445305,680,848,819,350.7939,58.84241,2.482,suzaku,xis,508011020,suzaku/xis/508011020
94958,456598691.445305,543,632,887,350.91483,58.862083,1.98195,suzaku,xis,508011020,suzaku/xis/508011020
95032,456598707.44530255,487,869,762,350.7822,58.825905,1.77755,suzaku,xis,508011020,suzaku/xis/508011020
95079,456598707.44530255,673,794,793,350.82413,58.834892,2.45645,suzaku,xis,508011020,suzaku/xis/508011020
95419,456598723.44530016,498,742,872,350.85324,58.85776,1.8177,suzaku,xis,508011020,suzaku/xis/508011020
95657,456598739.4452977,486,719,799,350.8661,58.836628,1.7739,suzaku,xis,508011020,suzaku/xis/508011020
95866,456598755.4452953,323,790,863,350.82635,58.855156,1.17895,suzaku,xis,508011020,suzaku/xis/508011020
95942,456598755.4452953,397,695,838,350.87955,58.84791,1.44905,suzaku,xis,508011020,suzaku/xis/508011020
97385,456598851.4452807,429,735,826,350.85715,58.844444,1.56585,suzaku,xis,508011020,suzaku/xis/508011020
98528,456601627.44533193,530,791,741,350.8258,58.81984,1.9345,suzaku,xis,508011020,suzaku/xis/508011020
99937,456601691.44483256,232,785,878,350.82916,58.8595,0.8468,suzaku,xis,508011020,suzaku/xis/508011020
100013,456601691.44483256,672,710,814,350.87112,58.84097,2.4528,suzaku,xis,508011020,suzaku/xis/508011020
